 calls | mean_ms |  total_ms  |  rows  |                                                                                                            query                                                                                                             
-------+---------+------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 13273 |  186.30 | 2472750.61 |  13273 | select count(*) from point_history ph1_0 where ph1_0.user_id=$1
 13283 |    3.12 |   41384.08 | 265660 | select ph1_0.id,ph1_0.amount,ph1_0.balance_after,ph1_0.created_at,ph1_0.description,ph1_0.type,ph1_0.user_id from point_history ph1_0 where ph1_0.user_id=$1 fetch first $2 rows only
     1 | 2781.50 |    2781.50 |      0 | VACUUM ANALYZE
    22 |   12.70 |     279.30 |    506 | SELECT                                                                                                                                                                                                                      +
       |         |            |        |                 current_database() datname,                                                                                                                                                                                 +
       |         |            |        |                 schemaname,                                                                                                                                                                                                 +
       |         |            |        |                 relname,                                                                                                                                                                                                    +
       |         |            |        |                 seq_scan,                                                                                                                                                                                                   +
       |         |            |        |                 seq_tup_read,                                                                                                                                                                                               +
       |         |            |        |                 idx_scan,                                                                                                                                                                                                   +
       |         |            |        |                 idx_tup_fetch,                                                                                                                                                                                              +
       |         |            |        |                 n_tup_ins,                                                                                                                                                                                                  +
       |         |            |        |                 n_tup_upd,                                                                                                                                                                                                  +
       |         |            |        |                 n_tup_del,                                                                                                                                                                                                  +
       |         |            |        |                 n_tup_hot_upd,                                                                                                                                                                                              +
       |         |            |        |                 n_live_tup,                                                                                                                                                                                                 +
       |         |            |        |                 n_dead_tup,                                                                                                                                                                                                 +
       |         |            |        |                 n_mod_since_ana
 13283 |    0.02 |     200.05 |      0 | BEGIN READ ONLY
    22 |    4.27 |      93.96 |   6028 | SELECT name, setting, COALESCE(unit, $1), short_desc, vartype FROM pg_settings WHERE vartype IN ($2, $3, $4) AND name NOT IN ($5, $6)
    88 |    1.03 |      90.79 |     88 | SELECT pg_database_size($1)
    22 |    2.01 |      44.15 |    792 | SELECT                                                                                                                                                                                                                      +
       |         |            |        |                   pg_database.datname as datname,                                                                                                                                                                           +
       |         |            |        |                   tmp.mode as mode,                                                                                                                                                                                         +
       |         |            |        |                   COALESCE(count, $1) as count                                                                                                                                                                              +
       |         |            |        |                 FROM                                                                                                                                                                                                        +
       |         |            |        |                   (                                                                                                                                                                                                         +
       |         |            |        |                     VALUES                                                                                                                                                                                                  +
       |         |            |        |                       ($2),                                                                                                                                                                                                 +
       |         |            |        |                       ($3),                                                                                                                                                                                                 +
       |         |            |        |                       ($4),                                                                                                                                                                                                 +
       |         |            |        |                       ($5),                                                                                                                                                                                                 +
       |         |            |        |                       ($6),                                                                                                                                                                                                 +
       |         |            |        |                       ($7),                                                                                                                                                                                                 +
       |         |            |        |                 
    22 |    1.77 |      38.93 |    506 | SELECT                                                                                                                                                                                                                      +
       |         |            |        |                 current_database() datname,                                                                                                                                                                                 +
       |         |            |        |                 schemaname,                                                                                                                                                                                                 +
       |         |            |        |                 relname,                                                                                                                                                                                                    +
       |         |            |        |                 heap_blks_read,                                                                                                                                                                                             +
       |         |            |        |                 heap_blks_hit,                                                                                                                                                                                              +
       |         |            |        |                 idx_blks_read,                                                                                                                                                                                              +
       |         |            |        |                 idx_blks_hit,                                                                                                                                                                                               +
       |         |            |        |                 toast_blks_read,                                                                                                                                                                                            +
       |         |            |        |                 toast_blks_hit,                                                                                                                                                                                             +
       |         |            |        |                 tidx_blks_read,                                                                                                                                                                                             +
       |         |            |        |                 tidx_blks_hit                                                                                                                                                                                               +
       |         |            |        |         FROM pg_statio_use
    22 |    1.25 |      27.55 |     22 | SELECT                                                                                                                                                                                                                      +
       |         |            |        |                         COUNT(*) AS segments,                                                                                                                                                                               +
       |         |            |        |                         SUM(size) AS size                                                                                                                                                                                   +
       |         |            |        |                 FROM pg_ls_waldir()                                                                                                                                                                                         +
       |         |            |        |                 WHERE name ~ $1
    22 |    0.69 |      15.11 |    618 | SELECT                                                                                                                                                                                                                      +
       |         |            |        |                                 pg_database.datname,                                                                                                                                                                        +
       |         |            |        |                                 tmp.state,                                                                                                                                                                                  +
       |         |            |        |                                 tmp2.usename,                                                                                                                                                                               +
       |         |            |        |                                 tmp2.application_name,                                                                                                                                                                      +
       |         |            |        |                                 tmp2.backend_type,                                                                                                                                                                          +
       |         |            |        |                                 tmp2.wait_event_type,                                                                                                                                                                       +
