 calls | mean_ms | total_ms  |  rows   |                                                                                                            query                                                                                                             
-------+---------+-----------+---------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 15001 |    7.90 | 118489.64 | 2508501 | select p1_0.id,p1_0.base_price,p1_0.category_id,p1_0.created_at,p1_0.description,p1_0.is_deleted,p1_0.name,p1_0.status,p1_0.updated_at from product p1_0 where p1_0.category_id=$1 and p1_0.status=$2
     1 | 1477.67 |   1477.67 |       0 | VACUUM ANALYZE
 15001 |    0.01 |    109.41 |       0 | BEGIN READ ONLY
    22 |    3.05 |     67.06 |     506 | SELECT                                                                                                                                                                                                                      +
       |         |           |         |                 current_database() datname,                                                                                                                                                                                 +
       |         |           |         |                 schemaname,                                                                                                                                                                                                 +
       |         |           |         |                 relname,                                                                                                                                                                                                    +
       |         |           |         |                 seq_scan,                                                                                                                                                                                                   +
       |         |           |         |                 seq_tup_read,                                                                                                                                                                                               +
       |         |           |         |                 idx_scan,                                                                                                                                                                                                   +
       |         |           |         |                 idx_tup_fetch,                                                                                                                                                                                              +
       |         |           |         |                 n_tup_ins,                                                                                                                                                                                                  +
       |         |           |         |                 n_tup_upd,                                                                                                                                                                                                  +
       |         |           |         |                 n_tup_del,                                                                                                                                                                                                  +
       |         |           |         |                 n_tup_hot_upd,                                                                                                                                                                                              +
       |         |           |         |                 n_live_tup,                                                                                                                                                                                                 +
       |         |           |         |                 n_dead_tup,                                                                                                                                                                                                 +
       |         |           |         |                 n_mod_since_ana
    88 |    0.44 |     39.04 |      88 | SELECT pg_database_size($1)
    22 |    1.34 |     29.42 |    6028 | SELECT name, setting, COALESCE(unit, $1), short_desc, vartype FROM pg_settings WHERE vartype IN ($2, $3, $4) AND name NOT IN ($5, $6)
    22 |    0.56 |     12.39 |     506 | SELECT                                                                                                                                                                                                                      +
       |         |           |         |                 current_database() datname,                                                                                                                                                                                 +
       |         |           |         |                 schemaname,                                                                                                                                                                                                 +
       |         |           |         |                 relname,                                                                                                                                                                                                    +
       |         |           |         |                 heap_blks_read,                                                                                                                                                                                             +
       |         |           |         |                 heap_blks_hit,                                                                                                                                                                                              +
       |         |           |         |                 idx_blks_read,                                                                                                                                                                                              +
       |         |           |         |                 idx_blks_hit,                                                                                                                                                                                               +
       |         |           |         |                 toast_blks_read,                                                                                                                                                                                            +
       |         |           |         |                 toast_blks_hit,                                                                                                                                                                                             +
       |         |           |         |                 tidx_blks_read,                                                                                                                                                                                             +
       |         |           |         |                 tidx_blks_hit                                                                                                                                                                                               +
       |         |           |         |         FROM pg_statio_use
    22 |    0.50 |     11.05 |      22 | SELECT                                                                                                                                                                                                                      +
       |         |           |         |                         COUNT(*) AS segments,                                                                                                                                                                               +
       |         |           |         |                         SUM(size) AS size                                                                                                                                                                                   +
       |         |           |         |                 FROM pg_ls_waldir()                                                                                                                                                                                         +
       |         |           |         |                 WHERE name ~ $1
    22 |    0.26 |      5.77 |     533 | SELECT                                                                                                                                                                                                                      +
       |         |           |         |                                 pg_database.datname,                                                                                                                                                                        +
       |         |           |         |                                 tmp.state,                                                                                                                                                                                  +
       |         |           |         |                                 tmp2.usename,                                                                                                                                                                               +
       |         |           |         |                                 tmp2.application_name,                                                                                                                                                                      +
       |         |           |         |                                 tmp2.backend_type,                                                                                                                                                                          +
       |         |           |         |                                 tmp2.wait_event_type,                                                                                                                                                                       +
       |         |           |         |                                 tmp2.wait_event,                                                                                                                                                                            +
       |         |           |         |                                 COALESCE(count,$1) as count,                                                                                                                                                                +
       |         |           |         |                                 COALESCE(max_tx_durat
    22 |    0.25 |      5.49 |     792 | SELECT                                                                                                                                                                                                                      +
       |         |           |         |                   pg_database.datname as datname,                                                                                                                                                                           +
       |         |           |         |                   tmp.mode as mode,                                                                                                                                                                                         +
       |         |           |         |                   COALESCE(count, $1) as count                                                                                                                                                                              +
       |         |           |         |                 FROM                                                                                                                                                                                                        +
       |         |           |         |                   (                                                                                                                                                                                                         +
       |         |           |         |                     VALUES                                                                                                                                                                                                  +
       |         |           |         |                       ($2),                                                                                                                                                                                                 +
       |         |           |         |                       ($3),                                                                                                                                                                                                 +
       |         |           |         |                       ($4),                                                                                                                                                                                                 +
       |         |           |         |                       ($5),                                                                                                                                                                                                 +
       |         |           |         |                       ($6),                                                                                                                                                                                                 +
       |         |           |         |                       ($7),                                                                                                                                                                                                 +
       |         |           |         |                 
    22 |    0.17 |      3.75 |      22 | SELECT *,                                                                                                                                                                                                                   +
       |         |           |         |                                 extract($1 from now() - last_archived_time) AS last_archive_age                                                                                                                             +
       |         |           |         |                         FROM pg_stat_archiver
    22 |    0.13 |      2.84 |       0 | SELECT *,                                                                                                                                                                                                                   +
       |         |           |         |                                 (case pg_is_in_recovery() when $1 then pg_last_wal_receive_lsn() else pg_current_wal_lsn() end) AS pg_current_wal_lsn,                                                                      +
       |         |           |         |                                 (case pg_is_in_recovery() when $2 then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), p
    22 |    0.06 |      1.30 |       0 | SELECT                                                                                                                                                                                                                      +
       |         |           |         |                 d.datname,                                                                                                                                                                                                  +
       |         |           |         |                 s.relid::regclass::text AS relname,                                                                                                                                                                         +
       |         |           |         |                 s.param1 AS phase,                                                                                                                                                                                          +
       |         |           |         |                 s.param2 AS heap_blks_total,                                                                                                                                                                                +
       |         |           |         |                 s.param3 AS heap_blks_scanned,                                                                                                                                                                              +
       |         |           |         |                 s.param4 AS heap_blks_vacuumed,                                                                                                                                                                             +
       |         |           |         |                 s.param5 AS index_vacuum_count,                                                                                                                                                                             +
       |         |           |         |                 s.param
    22 |    0.05 |      1.04 |     110 | SELECT datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,blk_read_time,blk_write_time,stats_res
    22 |    0.05 |      1.02 |      88 | SELECT * FROM pg_stat_database_conflicts
    44 |    0.01 |      0.62 |      44 | SELECT version()
    22 |    0.02 |      0.43 |      22 | SELECT                                                                                                                                                                                                                      +
       |         |           |         |         CASE                                                                                                                                                                                                                +
       |         |           |         |                 WHEN NOT pg_is_in_recovery() THEN $1                                                                                                                                                                        +
       |         |           |         |                 WHEN pg_last_wal_receive_lsn () = pg_last_wal_replay_lsn () THEN $2                                                                                                                                         +
       |         |           |         |                 ELSE GREATEST ($3, EXTRACT($4 FROM (now() - pg_last_xact_replay_timestamp())))                                                                                                                              +
       |         |           |         |         EN
    22 |    0.01 |      0.24 |       0 | SELECT                                                                                                                                                                                                                      +
       |         |           |         |                 slot_name,                                                                                                                                                                                                  +
       |         |           |         |                 slot_type,                                                                                                                                                                                                  +
       |         |           |         |                 CASE WHEN pg_is_in_recovery() THEN                                                                                                                                                                          +
       |         |           |         |                     pg_last_wal_receive_lsn() - $1                                                                                                                                                                          +
       |         |           |         |                 ELSE                                                                                                                                                                                                        +
       |         |           |         |                     pg_current_wal_lsn() - $2                                                                                                                                                                               +
       |         |           |         |                 END AS current_wal_lsn,                                                                                                                                                                                     +
       |         |           |         |                 COALESCE(confirmed_flush_lsn, $3) - $4 AS conf
    22 |    0.01 |      0.23 |       0 | SELECT slot_name, database, active,                                                                                                                                                                                         +
       |         |           |         |                                 (case pg_is_in_recovery() when $1 then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), restart_lsn) else pg_wal_lsn_diff(pg_current_wal_lsn(), restart_lsn) end) as pg_wal_lsn_diff              +
       |         |           |         |                         FR
    22 |    0.01 |      0.13 |     374 | SELECT pg_roles.rolname, pg_roles.rolconnlimit FROM pg_roles
(20 rows)

